ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta
2252291118,818268951,193163134656972,193163134656972,0.761338,0.001185
2436383536,960894542,71365562597938,71365562597938,0.77594,0.014602
1291262744,1419351115,56697952381632,56697952381632,0.776565,0.000625
433292127,4168467263,125578519876363,125578519876363,0.779104,0.002539
2665770054,3084359219,41366222783000,41366222783000,0.785995,0.006891
3032538644,1459296618,11016562873231,11016562873231,0.787135,0.00114
44494943,569263223,8915296702144,8915296702144,0.799568,0.012433
2147958596,368038989,130886578693741,130886578693741,0.800276,0.000708
821211722,3118979944,5669311975780,5669311975780,0.802032,0.001756
2996322893,1013506053,63509398632240,63509398632240,0.804858,0.002826
2417910390,3883730459,113759848117767,113759848117767,0.805718,0.00086
3293254713,4109554490,214405328454382,214405328454382,0.806354,0.000636
473772111,1527801958,185229677022500,185229677022500,0.813941,0.007587
4000309343,3148172038,47862730672265,47862730672265,0.823511,0.00957
2687275375,1731177769,180197910440135,180197910440135,0.826603,0.003092
2680471620,174239834,261840534503255,261840534503255,0.827052,0.000449
3251127643,1822490649,138749459162658,138749459162658,0.83977,0.012718
1029835787,2412424199,262358531862094,262358531862094,0.840474,0.000704
386916157,1596392726,211528285536487,211528285536487,0.848031,0.007557
2032594017,3281002801,1962184891432,1962184891432,0.84998,0.001949
3082685202,1063489632,2205538449429,2205538449429,0.852853,0.002873
4194427715,195746349,268946480544635,268946480544635,0.85595,0.003097
757828142,2632258587,39303920571531,39303920571531,0.856975,0.001025
1912108885,2310924650,231992077069380,231992077069380,0.860741,0.003766
1438962975,3138061127,212244935935447,212244935935447,0.861139,0.000398
2457882421,3246447404,163094160368808,163094160368808,0.861415,0.000276
1496159854,2740539693,55395839583792,55395839583792,0.862392,0.000977
717030179,1826979680,25433357717727,25433357717727,0.871772,0.00938
3663518302,1901159294,246084769777541,246084769777541,0.87222,0.000448
2211645704,3832090919,153091881627550,153091881627550,0.875998,0.003778
3606072182,1554181929,55963071953039,55963071953039,0.87817,0.002172
3594172759,1161501516,118602307848482,118602307848482,0.895888,0.017718
1252570184,3170944075,63968072957399,63968072957399,0.896538,0.00065
3116998003,3477387335,274136694912869,274136694912869,0.896908,0.00037
153587242,94124817,50996331513110,50996331513110,0.898122,0.001214
3279431221,703395168,245479947941754,245479947941754,0.911097,0.012975
3640326728,3539960371,27723565045466,27723565045466,0.912002,0.000905
2611057669,4274388550,268961322922270,268961322922270,0.91402,0.002018
3931357953,1034239773,134329823414059,134329823414059,0.923864,0.009844
2496433691,3642572128,1250944336730,1250944336730,0.925262,0.001398
1261114219,3230467454,41697429470486,41697429470486,0.925618,0.000356
1577839935,428504603,51911979518261,51911979518261,0.928391,0.002773
70449743,865738029,174605688987098,174605688987098,0.935973,0.007582
474352450,4045732917,183592274270408,183592274270408,0.936971,0.000998
2690800688,3276326471,111316308570224,111316308570224,0.937252,0.000281
2436178201,1689356880,106100993036731,106100993036731,0.937677,0.000425
2904159780,2900318514,158988120381368,158988120381368,0.94013,0.002453
497240364,2686734364,837307563005,837307563005,0.942584,0.002454
3991845747,1040976665,190039040413118,190039040413118,0.949602,0.007018
1103711791,3352308022,29374138113543,29374138113543,0.950807,0.001205
1004040311,4269173518,248296914422154,248296914422154,0.953237,0.00243
716476467,2603701103,191601032530454,191601032530454,0.961704,0.008467
2158843229,4140504181,199023521007810,199023521007810,0.962729,0.001025
3493342842,2789712701,117025817397681,117025817397681,0.967229,0.0045
361784105,3381224489,174641212943570,174641212943570,0.972028,0.004799
1213767999,3903535964,115443981224262,115443981224262,0.977171,0.005143
3581450336,3489076792,281195405208698,281195405208698,0.977512,0.000341
2648364602,1927587418,102616485975933,102616485975933,0.977957,0.000445
690606670,2170549017,62703609213952,62703609213952,0.978312,0.000355
66064426,1692460117,156574315571663,156574315571663,0.987191,0.008879
788379769,4250578474,105006974835586,105006974835586,0.989211,0.00202
543716394,2880035445,143486404239893,143486404239893,0.990497,0.001286
2719538728,2836594704,182673270504876,182673270504876,0.992851,0.002354
882693663,818984777,2010016331743,2010016331743,0.997222,0.004371
3084113719,2719937145,143720298013338,143720298013338,1.002034,0.004812
974039074,2674062888,278490377103886,278490377103886,1.017096,0.015062
144381440,3495981060,172368200997217,172368200997217,1.017929,0.000833
2645695805,74141011,85312900161401,85312900161401,1.018994,0.001065
1629967428,3438227211,161497337050956,161497337050956,1.026582,0.007588
1357514564,2955413843,185327609316662,185327609316662,1.028042,0.00146
1077688877,3917671999,84459726762648,84459726762648,1.028984,0.000942
1999068691,3574048369,128506783415948,128506783415948,1.030232,0.001248
3987401518,3257676645,125628517052823,125628517052823,1.038818,0.008586
3715404613,263154745,228089372934085,228089372934085,1.044802,0.005984
224051544,4042249518,133901898724815,133901898724815,1.046683,0.001881
1427331949,2901751144,210325793735860,210325793735860,1.05403,0.007347
4006278464,1720373842,149624833557410,149624833557410,1.054514,0.000484
3177436700,3450747674,211469060931565,211469060931565,1.063564,0.00905
1872695144,191992374,199411964118190,199411964118190,1.067086,0.003522
1829376632,4030840174,2713466014193,2713466014193,1.076423,0.009337
3193682273,1515608,74437306852499,74437306852499,1.077323,0.0009
392482092,1105622868,230100329846575,230100329846575,1.087396,0.010073
1150564916,1193009497,239765733604256,239765733604256,1.099779,0.012383
528078362,1530668647,173587210534595,173587210534595,1.103828,0.004049
2491739168,1918294024,101095114054915,101095114054915,1.106134,0.002306
542057033,4207215136,199225420483842,199225420483842,1.111438,0.005304
4089953101,2817899544,150070024276198,150070024276198,1.111762,0.000324
1273937252,974895223,183166586731138,183166586731138,1.116746,0.004984
4214742376,1955016806,92599731709557,92599731709557,1.117119,0.000373
994893168,3214852385,225219584498188,225219584498188,1.117221,0.000102
3358463504,566844019,236234409401899,236234409401899,1.117318,9.7e-05
1658374210,921314851,64537407152211,64537407152211,1.118335,0.001017
1470486814,838536241,271227977466234,271227977466234,1.11989,0.001555
3786688807,3474457894,8705598138722,8705598138722,1.123405,0.003515
701262948,1825211491,12037637846996,12037637846996,1.125265,0.00186
2889876269,772414073,236825576396408,236825576396408,1.131617,0.006352
962469728,3055761153,234672405183211,234672405183211,1.134961,0.003344
3446376208,101600265,243274986309341,243274986309341,1.135738,0.000777
3550388844,1629402226,198864238084389,198864238084389,1.140522,0.004784
1274280476,449359452,247843495101073,247843495101073,1.141965,0.001443
818339171,3480205609,2217043679786,2217043679786,1.147999,0.006034
3764452641,221520181,64413743211016,64413743211016,1.149909,0.00191
167670133,186041713,210156144318876,210156144318876,1.150895,0.000986
1311903359,4284629079,228270573582268,228270573582268,1.16172,0.010825
483902981,324049246,57104194624284,57104194624284,1.162387,0.000667
2434827787,1613665862,95864279376448,95864279376448,1.162749,0.000362
3713237030,2792821067,95953919727552,95953919727552,1.163928,0.001179
2243737940,2249292554,116800360816842,116800360816842,1.168005,0.004077
3122617212,1255942962,204215580788151,204215580788151,1.168917,0.000912
156836628,607075668,79009080523392,79009080523392,1.169373,0.000456
2672530032,479246191,166936740298385,166936740298385,1.177676,0.008303
1291575304,1620411682,181922636955625,181922636955625,1.179844,0.002168
1198997269,1735999764,102392523705220,102392523705220,1.188274,0.00843
3137081694,4028841830,88891536523064,88891536523064,1.193398,0.005124
2554410863,1517365550,15901179377764,15901179377764,1.203434,0.010036
1709071218,2835019094,107218326382525,107218326382525,1.204084,0.00065
2397237312,4293006594,76854197540994,76854197540994,1.21374,0.009656
667343701,2636265505,6463929096645,6463929096645,1.215607,0.001867
1888288059,1650892651,278757394432823,278757394432823,1.217589,0.001982
3077827694,4057679197,108822997550047,108822997550047,1.217975,0.000386
2733638420,976129367,21340367218254,21340367218254,1.22634,0.008365
