ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","8","0","0x0012","0.002923000",,,,,"58.369053000","0.002923000","0.002923000","0.002923000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","8","0","0x0010","0.001952000",,,,,"58.371005000","0.001952000","0.004875000","0.001952000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","8","0","0x0018",,,,"1",,"58.371005000","0.000000000","0.004875000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","8","0","0x0010","0.001954000",,,,,"58.372959000","0.001954000","0.006829000","0.001954000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","8","0","0x0018",,,,,,"58.381742000","0.008783000","0.015612000","0.008783000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","8","0","0x0010","0.001951000",,,,,"58.383693000","0.001951000","0.017563000","0.001951000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","8","0","0x0011",,,,,,"58.389551000","0.005858000","0.023421000","0.005858000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","8","0","0x0011","0.001968000",,,,,"58.391519000","0.001968000","0.025389000","0.001968000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","8","0","0x0010","0.001935000",,,,,"58.393454000","0.001935000","0.027324000","0.001935000"
,,,,,,,,,,,,,,,,,,,,,,"61.551469000","3.158015000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","9","0","0x0002",,,,,,"63.395422000","1.843953000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","9","0","0x0012","0.000976000",,,,,"63.396398000","0.000976000","0.000976000","0.000976000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","9","0","0x0010","0.001988000",,,,,"63.398386000","0.001988000","0.002964000","0.001988000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","9","0","0x0018",,,,"1",,"63.399363000","0.000977000","0.003941000","0.000977000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","9","0","0x0010","0.000939000",,,,,"63.400302000","0.000939000","0.004880000","0.000939000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","9","0","0x0018",,,,,,"63.412015000","0.011713000","0.016593000","0.011713000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","9","0","0x0010","0.002929000",,,,,"63.414944000","0.002929000","0.019522000","0.002929000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","9","0","0x0011",,,,,,"63.415921000","0.000977000","0.020499000","0.000977000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","9","0","0x0011","0.001950000",,,,,"63.417871000","0.001950000","0.022449000","0.001950000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","9","0","0x0010","0.007807000",,,,,"63.425678000","0.007807000","0.030256000","0.007807000"
,,,,,,,,,,,,,,,,,,,,,,"66.316586000","2.890908000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","10","0","0x0002",,,,,,"68.420921000","2.104335000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","10","0","0x0012","0.000976000",,,,,"68.421897000","0.000976000","0.000976000","0.000976000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","10","0","0x0010","0.001983000",,,,,"68.423880000","0.001983000","0.002959000","0.001983000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","10","0","0x0018",,,,"1",,"68.423880000","0.000000000","0.002959000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","10","0","0x0010","0.001954000",,,,,"68.425834000","0.001954000","0.004913000","0.001954000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","10","0","0x0018",,,,,,"68.433609000","0.007775000","0.012688000","0.007775000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","10","0","0x0010","0.001951000",,,,,"68.435560000","0.001951000","0.014639000","0.001951000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","10","0","0x0011",,,,,,"68.435560000","0.000000000","0.014639000","0.000000000"
