ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
3232235779,3232235778,84.0,1.0,64.0,1.0,9.290843,0.000742,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.299375,0.008532,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.301436,0.002061,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.307176,0.00574,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.308399,0.001223,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.315199,0.0068,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.317374,0.002175,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.322264,0.00489,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.324868,0.002604,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.329796,0.004928,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.331068,0.001272,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.337605,0.006537,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.338941,0.001336,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.34482,0.005879,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.346296,0.001476,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.352679,0.006383,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.354358,0.001679,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.369162,0.014804,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.370336,0.001174,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.379464,0.009128,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.380832,0.001368,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.390025,0.009193,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.391068,0.001043,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.399927,0.008859,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.40101,0.001083,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.413283,0.012273,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.424686,0.011403,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.428687,0.004001,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.429966,0.001279,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.44368,0.013714,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.44524,0.00156,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.452263,0.007023,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.453242,0.000979,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.461102,0.00786,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.46382,0.002718,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.468435,0.004615,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.469425,0.00099,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.475816,0.006391,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.47701,0.001194,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.484557,0.007547,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.485803,0.001246,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.493289,0.007486,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.49528,0.001991,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.500331,0.005051,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.501442,0.001111,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.508088,0.006646,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.509374,0.001286,Abnormal_Traffic
