ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,udp.port,frame.time_relative,frame.time_delta,label
3232235779,3232235777,70,0,128,17,50516,9.970009,0.003559,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50516,9.983346,0.013337,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50516,9.985307,0.001961,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50516,10.017061,0.031754,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50516,10.020435,0.003374,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50516,10.040626,0.020191,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57407,10.067633,0.027007,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57407,10.092267,0.024634,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57407,10.101651,0.009384,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57407,10.146394,0.044743,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57407,10.150527,0.004133,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57407,10.172837,0.02231,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57407,10.17337,0.000533,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57407,10.189877,0.016507,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57407,10.199926,0.010049,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57407,10.227946,0.02802,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,49692,10.249172,0.021226,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49692,10.277281,0.028109,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,49692,10.282765,0.005484,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49692,10.302174,0.019409,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,49692,10.303441,0.001267,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49692,10.327349,0.023908,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,49692,10.33159,0.004241,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49692,10.362507,0.030917,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,49692,10.365053,0.002546,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49692,10.37812,0.013067,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53188,10.396238,0.018118,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53188,10.417547,0.021309,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53188,10.421254,0.003707,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53188,10.457682,0.036428,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53188,10.458253,0.000571,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53188,10.478819,0.020566,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53188,10.4792,0.000381,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53188,10.498792,0.019592,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53188,10.499396,0.000604,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53188,10.519149,0.019753,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,51033,10.521945,0.002796,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,51033,10.548219,0.026274,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,51033,10.548647,0.000428,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,51033,10.568931,0.020284,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,51033,10.569428,0.000497,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,51033,10.589444,0.020016,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,51033,10.589844,0.0004,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,51033,10.609562,0.019718,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,51033,10.609973,0.000411,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,51033,10.627159,0.017186,Abnormal_Traffic
0,0,0,0,0,0,0,10.767138,0.139979,Abnormal_Traffic
0,0,0,0,0,0,0,11.821934,1.054796,Abnormal_Traffic
0,0,0,0,0,0,0,11.841919,0.019985,Abnormal_Traffic
0,0,0,0,0,0,0,12.975154,1.133235,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,54014,13.263762,0.288608,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54014,13.281595,0.017833,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,54014,13.293483,0.011888,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54014,13.313317,0.019834,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,54014,13.327476,0.014159,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54014,13.345564,0.018088,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,54014,13.364406,0.018842,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54014,13.387706,0.0233,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,54014,13.407244,0.019538,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54014,13.444886,0.037642,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,53222,13.591374,0.146488,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53222,13.611798,0.020424,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,53222,13.624808,0.01301,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53222,13.650986,0.026178,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,53222,13.679726,0.02874,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53222,13.698931,0.019205,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,53222,13.71093,0.011999,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53222,13.728468,0.017538,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,53222,13.75145,0.022982,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53222,13.770933,0.019483,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,59866,13.83125,0.060317,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,59866,13.841731,0.010481,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,59866,13.846539,0.004808,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,59866,13.876026,0.029487,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,59866,13.879266,0.00324,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,59866,13.903554,0.024288,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,59866,13.908846,0.005292,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,59866,13.931133,0.022287,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,59866,13.950073,0.01894,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,59866,13.969598,0.019525,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,49681,14.07118,0.101582,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49681,14.096974,0.025794,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,49681,14.113182,0.016208,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49681,14.138348,0.025166,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,49681,14.146789,0.008441,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49681,14.161133,0.014344,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,49681,14.185565,0.024432,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49681,14.216739,0.031174,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,49681,14.2197,0.002961,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,49681,14.231562,0.011862,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,50522,14.266222,0.03466,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50522,14.282325,0.016103,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,50522,14.299608,0.017283,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50522,14.3224,0.022792,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,50522,14.344961,0.022561,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50522,14.366462,0.021501,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,50522,14.39169,0.025228,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50522,14.401517,0.009827,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,50522,14.421385,0.019868,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50522,14.442349,0.020964,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,58780,14.504704,0.062355,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58780,14.524879,0.020175,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,58780,14.541338,0.016459,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58780,14.5579,0.016562,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,58780,14.562949,0.005049,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58780,14.592057,0.029108,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,58780,14.611974,0.019917,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58780,14.625134,0.01316,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,58780,14.634463,0.009329,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58780,14.66167,0.027207,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,60686,14.722368,0.060698,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60686,14.739217,0.016849,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,60686,14.742598,0.003381,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60686,14.776216,0.033618,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,60686,14.793166,0.01695,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60686,14.811122,0.017956,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,60686,14.838928,0.027806,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60686,14.858549,0.019621,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,60686,14.869949,0.0114,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60686,14.888483,0.018534,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,55553,14.934669,0.046186,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55553,14.954509,0.01984,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,55553,14.97385,0.019341,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55553,14.993046,0.019196,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,55553,15.009685,0.016639,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55553,15.030452,0.020767,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,55553,15.048131,0.017679,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55553,15.069501,0.02137,Abnormal_Traffic
3232235779,3232235777,77,0,128,17,55553,15.093056,0.023555,Abnormal_Traffic
